t,y,n
65.0,-0.5160959310905672,1.0
70.0,-0.4869898157987361,1.0
75.0,-0.4797655482518941,1.0
80.0,-0.45103847489044924,1.0
85.0,-0.4312896750995806,1.0
90.0,-0.4089005343069811,1.0
95.0,-0.3973484725240104,1.0
100.0,-0.3797460755678206,1.0
105.0,-0.3626581145252674,1.0
110.0,-0.33935294065173643,1.0
115.0,-0.3281712238731278,1.0
120.0,-0.31230159376547606,1.0
125.0,-0.3028624466385404,1.0
130.0,-0.28546259620657666,1.0
135.0,-0.27185497753937,1.0
140.0,-0.2647152399541839,1.0
145.0,-0.2476733885895789,1.0
150.0,-0.23867965934746047,1.0
155.0,-0.23096973439964058,1.0
160.0,-0.22436774454721273,1.0
165.0,-0.21339278577986623,1.0
170.0,-0.1990670293811035,1.0
175.0,-0.19243051245400966,1.0
180.0,-0.18606241219561398,1.0
185.0,-0.17662429839511132,1.0
190.0,-0.16466102912091424,1.0
195.0,-0.1552525573098647,1.0
200.0,-0.15655458883558165,1.0
205.0,-0.14284686712736322,1.0
210.0,-0.13188930388389236,1.0
215.0,-0.12061068104031553,1.0
220.0,-0.11609529215113994,1.0
225.0,-0.11838497270741528,1.0
230.0,-0.1165307442285903,1.0
235.0,-0.10667580923501203,1.0
240.0,-0.10248402955232996,1.0
245.0,-0.09686874876113559,1.0
250.0,-0.08128149368522872,1.0
255.0,-0.08260322372698604,1.0
260.0,-0.07441366851727634,1.0
265.0,-0.06460865991021066,1.0
270.0,-0.06794520041788017,1.0
275.0,-0.07023436048713877,1.0
280.0,-0.06428293302277797,1.0
285.0,-0.061136535702361654,1.0
290.0,-0.05372800426306133,1.0
295.0,-0.055873817050376785,1.0
300.0,-0.04839169552274771,1.0
0.0,0.0009234012790278644,2.0
5.0,0.010209264176259876,2.0
10.0,-0.001568123773021983,2.0
15.0,-0.0036166130149289334,2.0
20.0,-0.0007426048616652091,2.0
25.0,-0.001375220009514854,2.0
30.0,-0.004579932269577749,2.0
35.0,-0.002479614254890545,2.0
40.0,-0.003057597124578658,2.0
