t,y,n
0.0,0.0022971521778694355,0.0
5.0,-0.001607441270904325,0.0
10.0,0.005872696104776459,0.0
15.0,0.006564763711767879,0.0
20.0,0.00993966092777036,0.0
25.0,0.005215422817933782,0.0
30.0,-0.0025628336413177364,0.0
35.0,-0.0011887910039876893,0.0
40.0,0.005895978757665476,0.0
45.0,0.003214162994417943,0.0
50.0,-0.010052023190143694,0.0
55.0,-0.011584004394884136,0.0
60.0,-0.012004743990965511,0.0
62.0,0.7836998984547583,0.0
65.0,0.5044768115213231,0.0
70.0,0.07829894211801104,0.0
75.0,0.01519352242201001,0.0
80.0,-0.0009002003731882718,0.0
85.0,0.002321562215740059,0.0
90.0,-0.00881988176344029,0.0
95.0,-0.000201881195354088,0.0
100.0,-0.0041231934406244595,0.0
105.0,-0.0013097716917489578,0.0
110.0,-0.006468772442514824,0.0
115.0,0.001894461351215234,0.0
120.0,-0.010287866366560747,0.0
125.0,4.094528746400756e-05,0.0
130.0,-0.007161378754331137,0.0
135.0,-0.005049814472679175,0.0
140.0,-0.013600572096844286,0.0
145.0,-0.0015241721866920735,0.0
150.0,-0.003309251580217974,0.0
155.0,-0.008269498573869794,0.0
160.0,-0.0046648602642715194,0.0
165.0,-0.011026696323668409,0.0
170.0,-0.008391334806306907,0.0
175.0,-0.004739986190356654,0.0
180.0,0.0031978864402320943,0.0
185.0,-0.013070305715349504,0.0
190.0,-0.003995931342103349,0.0
195.0,-0.0017724645566477972,0.0
200.0,-0.007586099071626002,0.0
205.0,-0.002963073137962302,0.0
210.0,-0.014313298007743308,0.0
215.0,-0.02040683221218329,0.0
220.0,-0.002381251238220364,0.0
225.0,-0.0035142596244469772,0.0
230.0,-0.01383462774040976,0.0
235.0,-0.004055104319830334,0.0
240.0,-0.0012926456314910316,0.0
245.0,-0.0037676590513555327,0.0
250.0,-0.0010535565184637283,0.0
255.0,0.0020145304223262803,0.0
260.0,0.0007083121965217518,0.0
265.0,-0.002343988807443515,0.0
270.0,0.012920231688372643,0.0
275.0,0.0013274623983761588,0.0
280.0,0.002114766647031866,0.0
285.0,0.006859303000150451,0.0
290.0,-0.008211672145928174,0.0
295.0,0.013628949724397378,0.0
300.0,0.011222051729459136,0.0
0.0,-0.005186990444778855,1.0
5.0,0.007951776653068064,1.0
10.0,0.016836162397955677,1.0
15.0,0.01504406860967959,1.0
20.0,0.016082345211062152,1.0
25.0,0.008050827856578022,1.0
30.0,-0.0007409257334491532,1.0
35.0,0.005236557887941147,1.0
40.0,-0.011034681747426223,1.0
45.0,-0.01462645333010758,1.0
50.0,-0.00036998893463111384,1.0
55.0,-0.020998406176426135,1.0
60.0,-0.016244292249464914,1.0
62.0,0.5878239358518942,1.0
65.0,0.37847764211548035,1.0
70.0,0.037707242952105875,1.0
75.0,-0.005857153825458219,1.0
80.0,-0.02756200722588916,1.0
85.0,-0.024605633428009303,1.0
90.0,-0.011377906051580768,1.0
95.0,-0.014099693107907254,1.0
100.0,-0.030262004335502243,1.0
105.0,-0.03253594044515201,1.0
110.0,-0.03038157397908165,1.0
115.0,-0.018410604136609613,1.0
120.0,-0.03259843500527877,1.0
125.0,-0.029893660991534742,1.0
130.0,-0.04336876255075245,1.0
135.0,-0.0294462596477718,1.0
140.0,-0.0415511809271487,1.0
145.0,-0.05262640387111816,1.0
150.0,-0.05835184307610824,1.0
155.0,-0.04486158776390102,1.0
160.0,-0.045147418606644514,1.0
165.0,-0.04419359436866242,1.0
170.0,-0.038507359393114865,1.0
175.0,-0.035993414836471165,1.0
180.0,-0.04586294639812845,1.0
185.0,-0.04081368142950995,1.0
190.0,-0.040474111163797524,1.0
195.0,-0.04543852218439145,1.0
200.0,-0.043456735419807116,1.0
205.0,-0.03367345656146494,1.0
210.0,-0.036079261745503716,1.0
215.0,-0.03581494049891405,1.0
220.0,-0.03634542341698536,1.0
225.0,-0.03301241127567731,1.0
230.0,-0.04716474433420506,1.0
235.0,-0.034271339608297625,1.0
240.0,-0.042661929304420025,1.0
245.0,-0.03881202325021042,1.0
250.0,-0.03904777926459842,1.0
255.0,-0.03615951159352374,1.0
260.0,-0.04419216192490958,1.0
265.0,-0.03970017952467439,1.0
270.0,-0.040167204046250474,1.0
275.0,-0.04569510596992426,1.0
280.0,-0.04258680432935281,1.0
285.0,-0.033587509900628185,1.0
290.0,-0.04154554213468383,1.0
295.0,-0.0352803744798225,1.0
300.0,-0.037356322077993595,1.0
0.0,-0.0012534940184964337,2.0
5.0,0.006711133883636558,2.0
