t,y,n
0.0,0.0037315223885646693,0.0
5.0,-0.0007111808457838613,0.0
10.0,0.004241706644202246,0.0
15.0,-0.005045813537896965,0.0
20.0,0.003155744628928027,0.0
25.0,0.0035849925840641377,0.0
30.0,0.005103429331696427,0.0
35.0,0.006448999667301039,0.0
40.0,-0.0052926029292818194,0.0
45.0,-0.004786252009572483,0.0
50.0,0.0015013038088539554,0.0
55.0,-0.010084453302854915,0.0
60.0,-0.0018473964282184124,0.0
62.0,0.3134033342312266,0.0
65.0,0.33064510604464276,0.0
70.0,0.30745723511567075,0.0
75.0,0.28507195135497765,0.0
80.0,0.2592136720524164,0.0
85.0,0.2578116329991871,0.0
90.0,0.23911145677455284,0.0
95.0,0.23594074424092296,0.0
100.0,0.22521691416534337,0.0
105.0,0.20224729112870127,0.0
110.0,0.21732747987381396,0.0
115.0,0.18609562230007076,0.0
120.0,0.20445860121472137,0.0
125.0,0.18035117168613268,0.0
130.0,0.16924308361773271,0.0
135.0,0.14895916393767308,0.0
140.0,0.15507453639331886,0.0
145.0,0.15361248690151494,0.0
150.0,0.13664937972096722,0.0
155.0,0.13219542160345443,0.0
160.0,0.11970651251464728,0.0
165.0,0.10990604553678718,0.0
170.0,0.10383600338482994,0.0
175.0,0.10791570489695464,0.0
180.0,0.08238320518047483,0.0
185.0,0.09785192984449576,0.0
190.0,0.09323975518166375,0.0
195.0,0.09082292100910334,0.0
200.0,0.09029666703431179,0.0
205.0,0.079910214898277,0.0
210.0,0.0793725109929641,0.0
215.0,0.07752669796017866,0.0
220.0,0.06894290881453848,0.0
225.0,0.05625286895236748,0.0
230.0,0.05927698252171733,0.0
235.0,0.060662880013791644,0.0
240.0,0.06046268418468102,0.0
245.0,0.050579846874497604,0.0
250.0,0.04750859207590202,0.0
255.0,0.049508353042508106,0.0
260.0,0.0435083334427039,0.0
265.0,0.03835822672577364,0.0
270.0,0.038683237861049095,0.0
275.0,0.03882813920376596,0.0
280.0,0.028129831132390246,0.0
285.0,0.03658009053677994,0.0
290.0,0.025014788052308362,0.0
295.0,0.029075087097888988,0.0
300.0,0.03781448007870242,0.0
0.0,0.0010775122170223427,1.0
5.0,0.004546084307785888,1.0
10.0,-0.004342964090909231,1.0
15.0,0.014238193897386939,1.0
20.0,0.012128447812413325,1.0
25.0,-0.00103905041075714,1.0
30.0,0.0004959232815762575,1.0
35.0,-0.012219226538882052,1.0
40.0,0.004537668378507262,1.0
45.0,0.002452044813720981,1.0
50.0,-0.0064982867677781985,1.0
55.0,-0.010907503805590068,1.0
60.0,-0.004468843094495727,1.0
62.0,0.3146383133498453,1.0
65.0,0.33232327337152895,1.0
70.0,0.30268283645084143,1.0
75.0,0.2964709082319018,1.0
80.0,0.26466303418271236,1.0
85.0,0.26122007616105286,1.0
90.0,0.2525682301458201,1.0
95.0,0.23485561127927795,1.0
100.0,0.24156694155486835,1.0
105.0,0.22945981533158025,1.0
110.0,0.22010243085290818,1.0
115.0,0.21123426882390625,1.0
120.0,0.2164607806627907,1.0
125.0,0.2051188409432441,1.0
130.0,0.1982863501438495,1.0
135.0,0.2048194658423608,1.0
140.0,0.19087612222604144,1.0
145.0,0.17710723435946285,1.0
150.0,0.17641565749228214,1.0
155.0,0.16740699761985903,1.0
160.0,0.1739937325259785,1.0
165.0,0.1680388266822486,1.0
170.0,0.14902272955287693,1.0
175.0,0.13776767818061367,1.0
180.0,0.1322950289621109,1.0
185.0,0.1261215815080837,1.0
190.0,0.11654490220106399,1.0
195.0,0.10815697126236279,1.0
200.0,0.1041099325838487,1.0
205.0,0.09904756976815801,1.0
210.0,0.1045687151050752,1.0
215.0,0.10405570682163506,1.0
220.0,0.07601906551247062,1.0
225.0,0.08224668089438537,1.0
230.0,0.06023811055029609,1.0
235.0,0.06299957425175942,1.0
240.0,0.05606056815945573,1.0
245.0,0.0500699304883465,1.0
250.0,0.04343108959959747,1.0
255.0,0.03400127627544738,1.0
260.0,0.03150750226075087,1.0
265.0,0.03192911027773352,1.0
