t,y,n
0.0,-0.003004619243487458,0.0
5.0,-0.0007940001820961226,0.0
10.0,-0.008621492469233747,0.0
15.0,-0.0009288986130850122,0.0
20.0,0.0016678137871729594,0.0
25.0,0.0017240597999454877,0.0
30.0,0.0037181288480241646,0.0
35.0,0.00022791514815214404,0.0
40.0,-0.0006996879659133331,0.0
45.0,0.0024414228724986544,0.0
50.0,-0.0011987271277689646,0.0
55.0,-0.004242315948269308,0.0
60.0,0.009710401094059436,0.0
62.0,-0.5236147570431875,0.0
65.0,-0.22646481050269604,0.0
70.0,-0.07553268754833217,0.0
75.0,-0.03284694707721773,0.0
80.0,-0.028014617522344267,0.0
85.0,-0.008693940742014558,0.0
90.0,-0.007775562238152444,0.0
95.0,-0.005425785414820149,0.0
100.0,-0.00554884977093395,0.0
105.0,0.0027451513014881833,0.0
110.0,0.0032380012575027118,0.0
115.0,0.011022821314725512,0.0
120.0,0.015291277335852473,0.0
125.0,0.015424313367970087,0.0
130.0,0.008984261748520373,0.0
135.0,0.012114222500687754,0.0
140.0,0.0191718705417553,0.0
145.0,0.011262785967425264,0.0
150.0,0.016684338364293658,0.0
155.0,0.014792227599837015,0.0
160.0,0.01638214971794532,0.0
165.0,0.014712878772271015,0.0
170.0,0.02318439970736254,0.0
175.0,0.0192895104380034,0.0
180.0,0.024617105748580927,0.0
185.0,0.018435362831216506,0.0
190.0,0.01161189494581465,0.0
195.0,0.02709538849073347,0.0
200.0,0.01795061516755211,0.0
205.0,0.022389671304360613,0.0
210.0,0.01767124313540335,0.0
215.0,0.02453348648213243,0.0
220.0,0.017540555798824794,0.0
225.0,0.01665150705433153,0.0
230.0,0.021242515001653382,0.0
235.0,0.02057893160684635,0.0
240.0,0.026941761821727226,0.0
245.0,0.028550950435923535,0.0
250.0,0.021033199138109415,0.0
255.0,0.024009752780484405,0.0
260.0,0.036616243944919136,0.0
265.0,0.030290840485640718,0.0
270.0,0.028808219883349744,0.0
275.0,0.025261714144195663,0.0
280.0,0.024338130988412737,0.0
285.0,0.019849679468374924,0.0
290.0,0.017660912102345213,0.0
295.0,0.019444922261471008,0.0
300.0,0.02490919982706263,0.0
0.0,0.01142108332774965,1.0
5.0,0.00577549386183864,1.0
10.0,0.007635357861779718,1.0
15.0,0.0054103963126429675,1.0
20.0,0.007639220676798209,1.0
25.0,0.007914160899496996,1.0
30.0,-0.0031267584836848572,1.0
35.0,-0.005014275990575135,1.0
40.0,-0.015102657471795107,1.0
45.0,-0.005149087342789623,1.0
50.0,-0.008957896361068746,1.0
55.0,0.004511999273525272,1.0
60.0,-0.012957036563921089,1.0
62.0,-0.5785727434298178,1.0
65.0,-0.2664594184055555,1.0
70.0,-0.10442937250004235,1.0
75.0,-0.05122417198293781,1.0
80.0,-0.030367359547641873,1.0
85.0,-0.019533586690479735,1.0
90.0,-0.02169747931459956,1.0
95.0,-0.010056492083617329,1.0
100.0,-0.013781226431790491,1.0
105.0,-0.005004330001298576,1.0
110.0,-0.006296502511021627,1.0
115.0,-0.0015293273936427968,1.0
120.0,-0.01213046615262701,1.0
125.0,-0.015288369209308884,1.0
130.0,-0.013051220335231251,1.0
135.0,0.002964869718517004,1.0
140.0,-0.006046399217871253,1.0
145.0,-0.009056730348260243,1.0
150.0,-0.007169448521139155,1.0
155.0,0.002181215644180943,1.0
160.0,-0.004021182434994685,1.0
165.0,-0.0008007361992551533,1.0
170.0,-0.004325115065830296,1.0
175.0,-0.0077670565081362376,1.0
180.0,-0.008533446993146175,1.0
185.0,-0.005321401528426748,1.0
190.0,-0.005207178896637299,1.0
195.0,0.001772603575320957,1.0
200.0,-0.00787628013993558,1.0
205.0,-0.0027601213776716907,1.0
210.0,-0.00392059303218557,1.0
215.0,-0.005226640761434905,1.0
220.0,0.006511520106748757,1.0
225.0,0.00270639407471919,1.0
230.0,0.013109906889939084,1.0
235.0,0.010804501699573239,1.0
240.0,0.0015934257487697806,1.0
245.0,0.012507411430251657,1.0
250.0,-0.00212010582278117,1.0
255.0,-0.004262134421020029,1.0
260.0,0.002041107759936376,1.0
265.0,-0.00018046038686482323,1.0
270.0,0.001761095945407188,1.0
275.0,0.0051643220789645864,1.0
280.0,0.000511575156820493,1.0
285.0,0.001472425834969771,1.0
290.0,-0.01085279681654928,1.0
295.0,0.00450513431958653,1.0
300.0,0.001338283761822015,1.0
0.0,0.01330162148345927,2.0
5.0,0.0012532475542050565,2.0
10.0,-0.0008309721432794876,2.0
15.0,0.0003070064185722152,2.0
20.0,-0.0032247859347639485,2.0
25.0,0.00179880310790962,2.0
30.0,-0.002748390999046072,2.0
35.0,0.005802708801708451,2.0
40.0,-0.004559479963328709,2.0
45.0,-0.006513584109016887,2.0
50.0,-0.0039625672049930895,2.0
55.0,0.004488945081333759,2.0
60.0,-0.00511255209276108,2.0
62.0,-0.5508386055063672,2.0
65.0,-0.23388352503637377,2.0
70.0,-0.08234854935011103,2.0
75.0,-0.038321934447735094,2.0
80.0,-0.0213569349804329,2.0
85.0,-0.014640352456944623,2.0
90.0,-0.017787886696845265,2.0
95.0,-0.004002947755550179,2.0
100.0,-0.009823400853108672,2.0
105.0,-0.010078806128647911,2.0
110.0,-0.009334103450127113,2.0
115.0,-0.00648891116812278,2.0
120.0,-0.008090738003432676,2.0
125.0,-0.00936087308375383,2.0
130.0,-0.009869183120092424,2.0
135.0,0.0009667938424022392,2.0
140.0,-0.011760842190199764,2.0
145.0,-0.020883823304334668,2.0
150.0,-0.00872717604160264,2.0
155.0,-0.01491322742520816,2.0
160.0,-0.00824073880840731,2.0
165.0,-0.013867947119834497,2.0
170.0,-0.0048481395795878105,2.0
175.0,-0.004101467286374959,2.0
180.0,-0.004097108957552218,2.0
185.0,-0.006100011948264968,2.0
190.0,-0.0021522037479408795,2.0
195.0,-0.007566148068030797,2.0
200.0,-0.015135204752171241,2.0
205.0,-0.008411700877404803,2.0
210.0,-0.016532010403143078,2.0
215.0,-0.008117285784498789,2.0
220.0,-0.01612973496046312,2.0
225.0,-0.016416294609213736,2.0
